0,-8.7,-8.69897,-8.70067,-8.7025
1,-8.713,-8.71825,-8.71921,-8.71503
2,-8.75122,-8.7464,-8.74414,-8.75123
3,-8.80043,-8.80398,-8.80311,-8.79641
4,-8.87063,-8.86268,-8.86749,-8.86454
5,-8.93672,-8.94909,-8.93923,-8.93652
6,-9.01886,-9.01774,-9.01598,-9.01809
7,-9.10371,-9.09834,-9.09868,-9.09832
8,-9.06695,-9.05795,-9.05795,-9.18235
9,-8.95788,-8.95328,-8.95328,-9.15215
10,-8.8477,-8.83698,-8.83698,-9.05795
11,-8.713,-8.70776,-8.70776,-8.95328
12,-8.57693,-8.56418,-8.56418,-8.83698
13,-8.41057,-8.40465,-8.40465,-8.70776
14,-8.24253,-8.2274,-8.2274,-8.56418
15,-8.03708,-8.03046,-8.03045,-8.40462
16,-7.82955,-7.81163,-7.81163,-8.12568
17,-7.57583,-7.59374,-7.56848,-7.86973
18,-7.39914,-7.38263,-7.38139,-7.39125
19,-7.20958,-7.21655,-7.2107,-7.25033
20,-8.68127,-8.68765,-8.67833,-8.67192
21,-8.69518,-8.70659,-8.69782,-8.69869
22,-8.72411,-8.72604,-8.7285,-8.72118
23,-8.76544,-8.77346,-8.76936,-8.77126
24,-8.83251,-8.84536,-8.81803,-8.82425
25,-8.88694,-8.89327,-8.88191,-8.88698
26,-8.95303,-8.96928,-8.94194,-8.94501
27,-9.0109,-9.01233,-9.01033,-9.01145
28,-8.96574,-8.95328,-8.95328,-9.0646
29,-8.85053,-8.83698,-8.83698,-9.05795
30,-8.71363,-8.70776,-8.70776,-8.95328
31,-8.58324,-8.56418,-8.56418,-8.83698
32,-8.4144,-8.40465,-8.40465,-8.70776
33,-8.24112,-8.2274,-8.2274,-8.56418
34,-8.05061,-8.03045,-8.03045,-8.40465
35,-7.83178,-7.81163,-7.81162,-8.2274
36,-7.59859,-7.56848,-7.57104,-7.92914
37,-7.32998,-7.40095,-7.29831,-7.72334
38,-7.18064,-7.16944,-7.08345,-7.2027
39,-6.98942,-7.01654,-6.96346,-7.00868
40,-8.64628,-8.65422,-8.64035,-8.6393
41,-8.67301,-8.66146,-8.6572,-8.66671
42,-8.6769,-8.69456,-8.68013,-8.68756
43,-8.72335,-8.72516,-8.71784,-8.71574
44,-8.77039,-8.77244,-8.75654,-8.75975
45,-8.82225,-8.8137,-8.80886,-8.81255
46,-8.86334,-8.86236,-8.85446,-8.86309
47,-8.92773,-8.91188,-8.90891,-8.91196
48,-8.84588,-8.83698,-8.83698,-8.96401
49,-8.71912,-8.70776,-8.70776,-8.89723
50,-8.56654,-8.56418,-8.56418,-8.82161
51,-8.40696,-8.40465,-8.40465,-8.69755
52,-8.23339,-8.2274,-8.2274,-8.56288
53,-8.0449,-8.03045,-8.03045,-8.40465
54,-7.85297,-7.81162,-7.81161,-8.2274
55,-7.60859,-7.56848,-7.56847,-8.03045
56,-7.36573,-7.29831,-7.30823,-7.68093
57,-7.09926,-7.06176,-6.99812,-7.54219
58,-6.89243,-6.90064,-6.69174,-7.00536
59,-6.71596,-6.75949,-6.5494,-6.78659
60,-8.59603,-8.59485,-8.58223,-8.58756
61,-8.61761,-8.60785,-8.60927,-8.59953
62,-8.6321,-8.62235,-8.61856,-8.62947
63,-8.65371,-8.64899,-8.6534,-8.65419
64,-8.69347,-8.68217,-8.6779,-8.68371
65,-8.73472,-8.7309,-8.72357,-8.72116
66,-8.7661,-8.76457,-8.7578,-8.77029
67,-8.79743,-8.79905,-8.79698,-8.80466
